episode,episode_length,total_reward,average_reward_per_step,average_absolute_td_error,epsilon,timesteps
1,200,-396.669636,-1.9833481800000001,0.0,0.9992122916666666,200
2,200,-380.309762,-1.90154881,0.0,0.9984206250000001,400
3,200,-387.931636,-1.9396581800000001,0.0,0.9976289583333334,600
4,200,-381.827273,-1.909136365,0.0,0.9968372916666666,800
5,200,-393.166958,-1.9658347900000002,0.0,0.9960456249999999,1000
6,200,-384.591438,-1.92295719,1.5834259500308914,0.9952539583333333,1200
7,200,-387.751912,-1.93875956,1.4308842897415162,0.9944622916666668,1400
8,200,-390.301994,-1.9515099699999998,1.2108023858070374,0.9936706249999998,1600
9,200,-393.189498,-1.96594749,0.9581943690776825,0.9928789583333333,1800
10,200,-381.021948,-1.90510974,0.6832316112518311,0.9920872916666666,2000
11,200,-396.846706,-1.98423353,1.3423646700382232,0.9912956250000001,2200
12,200,-373.080333,-1.865401665,0.7515469002723694,0.9905039583333332,2400
13,200,-389.672173,-1.948360865,0.36880729615688324,0.9897122916666666,2600
14,200,-398.194806,-1.99097403,0.2426006403565407,0.988920625,2800
15,200,-359.721047,-1.798605235,0.1964579775929451,0.9881289583333335,3000
16,200,-396.271729,-1.981358645,1.3013782560825349,0.9873372916666665,3200
17,200,-384.477831,-1.9223891549999998,0.3613371756672859,0.986545625,3400
18,200,-390.517918,-1.95258959,0.16673751175403595,0.9857539583333333,3600
19,200,-397.993788,-1.98996894,0.1362266045808792,0.9849622916666668,3800
20,200,-386.791468,-1.93395734,0.12196401298046113,0.9841706249999999,4000
21,200,-396.446125,-1.982230625,1.1256395542621613,0.9833789583333332,4200
22,200,-396.015167,-1.980075835,0.18335881382226943,0.9825872916666667,4400
23,200,-388.480212,-1.94240106,0.13337292656302452,0.9817956250000001,4600
24,200,-397.643755,-1.988218775,0.1255679477751255,0.9810039583333332,4800
25,200,-390.245422,-1.95122711,0.11222499445080757,0.9802122916666666,5000
26,200,-383.853673,-1.919268365,0.9792322805523872,0.979420625,5200
27,200,-393.378133,-1.966890665,0.12654852107167244,0.9786289583333334,5400
28,200,-396.600561,-1.9830028050000001,0.1262264569103718,0.9778372916666664,5600
29,200,-390.552588,-1.9527629400000002,0.11453502640128135,0.9770456249999999,5800
30,200,-394.033119,-1.970165595,0.10601662039756775,0.9762539583333334,6000
31,200,-389.193405,-1.9459670249999999,0.8521351890265941,0.9754622916666668,6200
32,200,-381.856277,-1.9092813849999999,0.12446212932467461,0.9746706249999998,6400
33,200,-391.148775,-1.955743875,0.11986047506332398,0.9738789583333333,6600
34,200,-392.788498,-1.96394249,0.11056845247745514,0.9730872916666666,6800
35,200,-397.043118,-1.98521559,0.11011857584118843,0.9722956250000001,7000
36,200,-397.332836,-1.98666418,0.7734228479862213,0.9715039583333335,7200
37,200,-382.206399,-1.9110319949999999,0.13408067867159842,0.9707122916666666,7400
38,200,-390.367796,-1.95183898,0.11415759459137917,0.969920625,7600
39,200,-391.097082,-1.95548541,0.10481761872768403,0.9691289583333335,7800
40,200,-397.014231,-1.985071155,0.1008693140745163,0.9683372916666665,8000
41,200,-394.038453,-1.970192265,0.7227875757217407,0.9675456249999999,8200
42,200,-393.590351,-1.967951755,0.12236899733543397,0.9667539583333333,8400
43,200,-391.488976,-1.95744488,0.10298634469509124,0.9659622916666668,8600
44,200,-396.194758,-1.98097379,0.09552000045776367,0.9651706250000002,8800
45,200,-387.477138,-1.9373856900000002,0.08897586047649383,0.9643789583333332,9000
46,200,-387.785732,-1.93892866,0.6926884093880653,0.9635872916666667,9200
47,200,-390.770031,-1.953850155,0.12887847810983658,0.962795625,9400
48,200,-386.819256,-1.93409628,0.10319578915834426,0.9620039583333335,9600
49,200,-385.389455,-1.926947275,0.10232292711734772,0.9612122916666666,9800
50,200,-398.107741,-1.9905387049999999,0.09711614310741425,0.960420625,10000
51,200,-396.627211,-1.983136055,0.6627099657058716,0.9596289583333334,10200
52,200,-381.231561,-1.906157805,0.12626105189323425,0.9588372916666669,10400
53,200,-384.125264,-1.92062632,0.1038467663526535,0.9580456249999999,10600
54,200,-383.050934,-1.91525467,0.09865303814411164,0.9572539583333333,10800
55,200,-354.233714,-1.7711685700000002,0.09131816029548645,0.9564622916666667,11000
56,200,-389.392653,-1.946963265,0.637030856013298,0.9556706250000002,11200
57,200,-389.700896,-1.94850448,0.14181651860475541,0.9548789583333332,11400
58,200,-388.526542,-1.94263271,0.11126454651355744,0.9540872916666666,11600
59,200,-387.028608,-1.93514304,0.10325200855731964,0.9532956250000001,11800
60,200,-373.54067,-1.86770335,0.09701945066452027,0.9525039583333335,12000
61,200,-395.18623,-1.97593115,0.6196877494454384,0.9517122916666666,12200
62,200,-378.545898,-1.89272949,0.1389729771018028,0.950920625,12400
63,200,-382.841365,-1.914206825,0.12047565072774886,0.9501289583333334,12600
64,200,-356.145134,-1.7807256699999998,0.10399754583835602,0.9493372916666668,12800
65,200,-396.963955,-1.984819775,0.1011471089720726,0.948545625,13000
66,200,-394.406949,-1.972034745,0.5889589911699296,0.9477539583333333,13200
67,200,-343.347776,-1.71673888,0.16828739821910857,0.9469622916666667,13400
68,200,-377.624213,-1.888121065,0.14686871767044068,0.9461706250000002,13600
69,200,-388.150238,-1.94075119,0.12817243695259095,0.9453789583333332,13800
70,200,-388.751204,-1.94375602,0.1124195721745491,0.9445872916666667,14000
71,200,-343.863406,-1.71931703,0.5810267227888107,0.943795625,14200
72,200,-383.223053,-1.916115265,0.19707714885473251,0.9430039583333335,14400
73,200,-394.234012,-1.97117006,0.16494661808013916,0.9422122916666665,14600
74,200,-346.686911,-1.733434555,0.13931096255779266,0.941420625,14800
75,200,-368.950543,-1.8447527149999998,0.13205332577228546,0.9406289583333334,15000
76,200,-386.803274,-1.93401637,0.5658870166540146,0.9398372916666669,15200
77,200,-270.13842,-1.3506921,0.22004665762186051,0.9390456249999999,15400
78,200,-386.09218,-1.9304609,0.1881215950846672,0.9382539583333334,15600
79,200,-390.04617,-1.95023085,0.1749564728140831,0.9374622916666667,15800
80,200,-359.792911,-1.798964555,0.158371120095253,0.9366706250000001,16000
81,200,-389.951907,-1.949759535,0.5848510804772377,0.9358789583333332,16200
