source,seed,training_time_seconds,training_episodes,training_steps,training_episodes_per_second,training_steps_per_second,training_time_ms_per_episode,training_time_us_per_step,evaluation_batches,evaluation_steps,inference_time_seconds,inference_steps_per_second,inference_latency_ms_per_step,average_evaluation_reward,average_upright_accuracy,average_stable_accuracy,average_max_consecutive_stable_steps,success_rate,theta_upright_threshold,theta_dot_stable_threshold,success_consecutive_stable_steps_threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
hardware_board,0,176.1050627231598,8000,2000000,45.427427674672465,11356.856918668118,22.013132840394974,88.0525313615799,5,1250,not_isolated,not_isolated,not_isolated,2030.8276611328124,0.8343999999999999,0.8128,202.0,1.0,0.35,0.5,30,0.8128,1.0,0.8128,0.8967343336275375,1016,0,0,234
hardware_board,1,176.01223254203796,8000,2000000,45.451386443208236,11362.846610802058,22.001529067754745,88.00611627101898,5,1250,not_isolated,not_isolated,not_isolated,1246.7575923919678,0.5592,0.504,126.0,0.6,0.35,0.5,30,0.504,1.0,0.504,0.6702127659574468,630,0,0,620
hardware_board,2,176.00839257240295,8000,2000000,45.452378054694826,11363.094513673706,22.00104907155037,88.00419628620148,5,1250,not_isolated,not_isolated,not_isolated,2072.468603515625,0.8472,0.8240000000000001,205.8,1.0,0.35,0.5,30,0.824,1.0,0.824,0.9035087719298246,1030,0,0,220
hardware_board,3,176.10635614395142,8000,2000000,45.42709403095426,11356.773507738564,22.013294517993927,88.05317807197571,5,1250,not_isolated,not_isolated,not_isolated,105.75395736694335,0.16559999999999997,0.0152,3.2,0.0,0.35,0.5,30,0.0152,1.0,0.0152,0.02994483845547675,19,0,0,1231
hardware_board,4,176.01159286499023,8000,2000000,45.45155162669543,11362.887906673857,22.00144910812378,88.00579643249512,5,1250,not_isolated,not_isolated,not_isolated,1630.848041152954,0.6976,0.6576,164.2,0.8,0.35,0.5,30,0.6576,1.0,0.6576,0.7934362934362934,822,0,0,428
hardware_board,5,176.0028941631317,8000,2000000,45.45379800735006,11363.449501837515,22.000361770391464,88.00144708156586,5,1250,not_isolated,not_isolated,not_isolated,318.0655342102051,0.3016,0.1464,36.6,0.2,0.35,0.5,30,0.1464,1.0,0.1464,0.25540823447313327,183,0,0,1067
hardware_board,6,176.00300121307373,8000,2000000,45.45377036108035,11363.442590270088,22.000375151634216,88.00150060653687,5,1250,not_isolated,not_isolated,not_isolated,2144.4447265625,0.8744,0.8528,212.0,1.0,0.35,0.5,30,0.8528,1.0,0.8528,0.9205526770293609,1066,0,0,184
hardware_board,7,176.00436568260193,8000,2000000,45.453417981840445,11363.354495460111,22.00054571032524,88.00218284130096,5,1250,not_isolated,not_isolated,not_isolated,1744.5967635631562,0.7352000000000001,0.6904,172.2,0.8,0.35,0.5,30,0.6904,1.0,0.6904,0.816848083293895,863,0,0,387
hardware_board,8,176.10917711257935,8000,2000000,45.42636636639288,11356.591591598219,22.013647139072418,88.05458855628967,5,1250,not_isolated,not_isolated,not_isolated,-2.2262191772460938,0.1424,0.0,0.0,0.0,0.35,0.5,30,0.0,0.0,0.0,0.0,0,0,0,1250
hardware_board,9,176.1074869632721,8000,2000000,45.426802335033216,11356.700583758304,22.013435870409012,88.05374348163605,5,1250,not_isolated,not_isolated,not_isolated,1893.2137451171875,0.7928,0.7744,193.6,1.0,0.35,0.5,30,0.7744,1.0,0.7744,0.872858431018936,968,0,0,282
hardware_board,10,176.10410404205322,8000,2000000,45.42767497394394,11356.918743485983,22.013013005256653,88.05205202102661,5,1250,not_isolated,not_isolated,not_isolated,780.6295043945313,0.82,0.8112,202.2,1.0,0.35,0.5,30,0.8112,1.0,0.8112,0.8957597173144877,1014,0,0,236
hardware_board,11,176.00122833251953,8000,2000000,45.45422822212116,11363.557055530291,22.00015354156494,88.00061416625977,5,1250,not_isolated,not_isolated,not_isolated,2185.13955078125,0.8904,0.8656,216.4,1.0,0.35,0.5,30,0.8656,1.0,0.8656,0.9279588336192109,1082,0,0,168
hardware_board,12,176.01089072227478,8000,2000000,45.4517329420433,11362.933235510825,22.001361340284348,88.00544536113739,5,1250,not_isolated,not_isolated,not_isolated,2100.185791015625,0.8583999999999999,0.836,208.4,1.0,0.35,0.5,30,0.836,1.0,0.836,0.9106753812636166,1045,0,0,205
hardware_board,13,176.00624561309814,8000,2000000,45.45293249187204,11363.233122968011,22.000780701637268,88.00312280654907,5,1250,not_isolated,not_isolated,not_isolated,1973.4099365234374,0.8119999999999999,0.7888,197.0,1.0,0.35,0.5,30,0.7888,1.0,0.7888,0.8819320214669052,986,0,0,264
hardware_board,14,176.00789332389832,8000,2000000,45.452506980911416,11363.126745227853,22.00098666548729,88.00394666194916,5,1250,not_isolated,not_isolated,not_isolated,1677.8870498657227,0.712,0.6744,168.6,0.8,0.35,0.5,30,0.6744,1.0,0.6744,0.8055422838031534,843,0,0,407
